system:index,BuildingDensity,Latitude,Longitude,.geo
0,0,28.763245082508035,76.85507407557049,"{""type"":""Point"",""coordinates"":[76.85507407557049,28.763245082508035]}"
1,93,28.259061971160698,77.08712866451135,"{""type"":""Point"",""coordinates"":[77.08712866451135,28.259061971160698]}"
2,2474,28.567116114634253,77.54239395010515,"{""type"":""Point"",""coordinates"":[77.54239395010515,28.567116114634253]}"
3,0,29.056039872262666,77.26288831915188,"{""type"":""Point"",""coordinates"":[77.26288831915188,29.056039872262666]}"
4,4526,28.464622338329754,77.07702492805883,"{""type"":""Point"",""coordinates"":[77.07702492805883,28.464622338329754]}"
5,0,28.49416487980317,76.76120229705361,"{""type"":""Point"",""coordinates"":[76.76120229705361,28.49416487980317]}"
6,3882,28.610578557148266,77.23823088940367,"{""type"":""Point"",""coordinates"":[77.23823088940367,28.610578557148266]}"
7,894,28.410381152398564,77.34962487726166,"{""type"":""Point"",""coordinates"":[77.34962487726166,28.410381152398564]}"
8,0,29.049031057557375,76.98857768542635,"{""type"":""Point"",""coordinates"":[76.98857768542635,29.049031057557375]}"
9,82,28.923270439401307,76.93897792941118,"{""type"":""Point"",""coordinates"":[76.93897792941118,28.923270439401307]}"
10,0,28.77272115720466,76.86063662797889,"{""type"":""Point"",""coordinates"":[76.86063662797889,28.77272115720466]}"
11,134,28.639527787970692,77.05930495438166,"{""type"":""Point"",""coordinates"":[77.05930495438166,28.639527787970692]}"
12,0,28.82544563842541,76.95518982767095,"{""type"":""Point"",""coordinates"":[76.95518982767095,28.82544563842541]}"
13,2443,29.102117693598192,77.09030682537136,"{""type"":""Point"",""coordinates"":[77.09030682537136,29.102117693598192]}"
14,0,28.57258005029669,77.57209115736863,"{""type"":""Point"",""coordinates"":[77.57209115736863,28.57258005029669]}"
15,0,28.607640057597834,76.69696822589087,"{""type"":""Point"",""coordinates"":[76.69696822589087,28.607640057597834]}"
16,19,28.408989009691517,76.81854190487641,"{""type"":""Point"",""coordinates"":[76.81854190487641,28.408989009691517]}"
17,2824,28.34169765831396,77.29428063648487,"{""type"":""Point"",""coordinates"":[77.29428063648487,28.34169765831396]}"
18,5,28.88629574691644,76.67398961492073,"{""type"":""Point"",""coordinates"":[76.67398961492073,28.88629574691644]}"
19,0,29.038377223346686,77.42623166875467,"{""type"":""Point"",""coordinates"":[77.42623166875467,29.038377223346686]}"
20,1030,28.973592399239536,77.09570871789643,"{""type"":""Point"",""coordinates"":[77.09570871789643,28.973592399239536]}"
21,3620,28.476977958682998,77.33315852971629,"{""type"":""Point"",""coordinates"":[77.33315852971629,28.476977958682998]}"
22,6358,28.67851571922852,77.07009668035462,"{""type"":""Point"",""coordinates"":[77.07009668035462,28.67851571922852]}"
23,6292,28.613539179173465,77.02100065663772,"{""type"":""Point"",""coordinates"":[77.02100065663772,28.613539179173465]}"
24,1969,28.36101729468671,77.30803379595204,"{""type"":""Point"",""coordinates"":[77.30803379595204,28.36101729468671]}"
25,0,28.82968986835042,77.1662595945571,"{""type"":""Point"",""coordinates"":[77.1662595945571,28.82968986835042]}"
26,1721,28.605438190410805,77.5052650236439,"{""type"":""Point"",""coordinates"":[77.5052650236439,28.605438190410805]}"
27,0,28.931875215926397,77.4481419600708,"{""type"":""Point"",""coordinates"":[77.4481419600708,28.931875215926397]}"
28,0,28.57082359365998,77.01023687148701,"{""type"":""Point"",""coordinates"":[77.01023687148701,28.57082359365998]}"
29,3987,28.587206915885222,77.08532395173123,"{""type"":""Point"",""coordinates"":[77.08532395173123,28.587206915885222]}"
30,0,28.93622586847619,77.12064515489413,"{""type"":""Point"",""coordinates"":[77.12064515489413,28.93622586847619]}"
31,2616,28.605547328446587,77.13867355543606,"{""type"":""Point"",""coordinates"":[77.13867355543606,28.605547328446587]}"
32,0,28.940028696556407,77.27984963962385,"{""type"":""Point"",""coordinates"":[77.27984963962385,28.940028696556407]}"
33,2000,28.277669714726287,76.99196562259921,"{""type"":""Point"",""coordinates"":[76.99196562259921,28.277669714726287]}"
34,111,28.83773555169441,77.16017662072355,"{""type"":""Point"",""coordinates"":[77.16017662072355,28.83773555169441]}"
35,0,28.821672112949415,77.34049320121916,"{""type"":""Point"",""coordinates"":[77.34049320121916,28.821672112949415]}"
36,0,28.319322049748145,77.20338981644719,"{""type"":""Point"",""coordinates"":[77.20338981644719,28.319322049748145]}"
37,0,28.871111925772958,77.36172796919925,"{""type"":""Point"",""coordinates"":[77.36172796919925,28.871111925772958]}"
38,0,29.04071478458728,76.86976235551666,"{""type"":""Point"",""coordinates"":[76.86976235551666,29.04071478458728]}"
39,0,28.883987133880247,77.27029157879898,"{""type"":""Point"",""coordinates"":[77.27029157879898,28.883987133880247]}"
40,0,28.86619347465763,77.40222069233228,"{""type"":""Point"",""coordinates"":[77.40222069233228,28.86619347465763]}"
