system:index,Humidity,Latitude,Longitude,.geo
0,95.09565031769003,28.25650726197955,77.07994295387554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.25650726197955]}"
1,95.09565031769003,28.25650726197955,77.08892610671674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.25650726197955]}"
2,95.09565031769003,28.25650726197955,77.09790925955794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.25650726197955]}"
3,95.09565031769003,28.25650726197955,77.10689241239913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.25650726197955]}"
4,94.98607846447894,28.265490414820746,77.01706088398718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.265490414820746]}"
5,94.98607846447894,28.265490414820746,77.02604403682838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.265490414820746]}"
6,94.98607846447894,28.265490414820746,77.03502718966956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.265490414820746]}"
7,94.98607846447894,28.265490414820746,77.04401034251076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.265490414820746]}"
8,95.09565031769003,28.265490414820746,77.05299349535196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.265490414820746]}"
9,95.09565031769003,28.265490414820746,77.06197664819315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.265490414820746]}"
10,95.09565031769003,28.265490414820746,77.07095980103435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.265490414820746]}"
11,95.09565031769003,28.265490414820746,77.07994295387554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.265490414820746]}"
12,95.09565031769003,28.265490414820746,77.08892610671674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.265490414820746]}"
13,95.09565031769003,28.265490414820746,77.09790925955794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.265490414820746]}"
14,95.09565031769003,28.265490414820746,77.10689241239913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.265490414820746]}"
15,95.09565031769003,28.265490414820746,77.11587556524033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11587556524033,28.265490414820746]}"
16,95.09565031769003,28.265490414820746,77.12485871808153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12485871808153,28.265490414820746]}"
17,95.09565031769003,28.265490414820746,77.13384187092272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13384187092272,28.265490414820746]}"
18,95.09565031769003,28.265490414820746,77.14282502376392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14282502376392,28.265490414820746]}"
19,95.18434898273965,28.265490414820746,77.1518081766051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1518081766051,28.265490414820746]}"
20,95.18434898273965,28.265490414820746,77.1607913294463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1607913294463,28.265490414820746]}"
21,95.18434898273965,28.265490414820746,77.1697744822875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1697744822875,28.265490414820746]}"
22,95.18434898273965,28.265490414820746,77.17875763512869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,28.265490414820746]}"
